"Source:","C:\Users\User\Desktop\Misc\Speaker\Discrete_Channel\Discrete_Channel.sch"
"Date:","11/7/2021 2:22:24 PM"
"Tool:","Eeschema (5.1.9)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","67"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Note","Notes","Part"
"15","1","JP1","Jumper_NO_Small","Device:Jumper_NO_Small","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","~","","",""
"16","5","L1, L2, L3, L4, L5","10 uH","Device:L_Small","Inductor_SMD:L_12x12mm_H6mm","https://www.we-online.com/katalog/datasheet/74477110.pdf","https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/74477110/1638613","https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/74477110/1638613","74477110"
"17","4","R1, R2, R15, R16","3R3","Device:R_Small_US","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder","https://www.bourns.com/data/global/pdfs/CRS.pdf","https://www.digikey.com/en/products/detail/bourns-inc/CRS2512-FW-3R30ELF/5778664","","CRS2512-FW-3R30ELF"
"18","1","R3","30k","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf","https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERA-6ARB303V/3073756","","‎ERA-6ARB303V‎"
"19","1","R4","22k","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf","https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERA-6ARB223V/3073750","","ERA-6ARB223V"
"20","4","R5, R6, R7, R8","10k","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://www.seielect.com/catalog/sei-rncf.pdf","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RNCF0805BKT10K0/1711521","","RNCF0805BKT10K0"
"21","2","R9, R10","18k","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf","https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERA-6ARB183V/3073746","","ERA-6ARB183V"
"22","2","R11, R12","2k","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf","https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERA-6ARB202V/3073747","","‎ERA-6ARB202V‎"
"23","2","R13, R14","1R","Device:R_Small_US","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder","https://www.bourns.com/docs/product-datasheets/crm.pdf","https://www.digikey.com/en/products/detail/bourns-inc/CRM2512-JW-1R0ELF/2563950","","CRM2512-JW-1R0ELF"
"24","1","U1","TPA3244","Discrete_Channel-rescue:TPA3244-TPA3244","Custom_TO:HTSSOP-44_6.1x14mm_P0.635mm_TopEP4.14x7.01mm","https://www.ti.com/lit/ds/symlink/tpa3244.pdf?HQS=dis-dk-null-digikeymode-dsf-pf-null-wwe&ts=1636011771112&ref_url=https%253A%252F%252Fwww.ti.com%252Fgeneral%252Fdocs%252Fsuppproductinfo.tsp%253FdistId%253D10%2526gotoUrl%253Dhttps%253A%252F%252Fwww.ti.com%252Flit%252Fgpn%252Ftpa3244","https://www.digikey.com/en/products/detail/texas-instruments/TPA3244DDWR/6566104","","TPA3244DDWR"
"25","1","U2","LM4562","Amplifier_Operational:LM4562","Package_DIP:DIP-8_W7.62mm_LongPads","http://www.ti.com/lit/ds/symlink/lm4562.pdf","https://www.digikey.com/en/products/detail/texas-instruments/LM4562NA-NOPB/1217793","","LM4562NA/NOPB"
