"Source:","C:\Users\User\Desktop\Misc\Speaker\Discrete_Channel\Discrete_Channel.sch"
"Date:","11/7/2021 2:22:24 PM"
"Tool:","Eeschema (5.1.9)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","67"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Note","Notes","Part"
"","","C18","330 pF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://industrial.panasonic.com/ww/products/pt/film-cap-electroequip/models/ECHU1H331JX5","https://www.digikey.com/en/products/detail/ECH-U1H331JX5/PCF1322CT-ND/353794","","ECH-U1H331JX5"
"","","C19","330 pF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://industrial.panasonic.com/ww/products/pt/film-cap-electroequip/models/ECHU1H331JX5","https://www.digikey.com/en/products/detail/ECH-U1H331JX5/PCF1322CT-ND/353794","","ECH-U1H331JX5"
"","","C20","6.8 uF","Device:C_Small","Capacitor_THT:C_Rect_L31.5mm_W15.0mm_P27.50mm_MKS4","https://www.wima.de/wp-content/uploads/media/e_WIMA_MKP_4.pdf","https://www.digikey.com/en/products/detail/MKP4D046806F00JSSD/1928-1535-ND/9370464","","MKP4D046806F00JSSD"
"","","C21","6.8 uF","Device:C_Small","Capacitor_THT:C_Rect_L31.5mm_W15.0mm_P27.50mm_MKS4","https://www.wima.de/wp-content/uploads/media/e_WIMA_MKP_4.pdf","https://www.digikey.com/en/products/detail/MKP4D046806F00JSSD/1928-1535-ND/9370464","","MKP4D046806F00JSSD"
"","","C22","33 nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://product.tdk.com/en/system/files?file=dam/doc/product/capacitor/ceramic/mlcc/charasheet/c2012c0g1h333j125aa.pdf","https://www.digikey.com/en/products/detail/C2012C0G1H333J125AA/445-7523-1-ND/2733595","","C2012C0G1H333J125AA"
"","","C23","33 nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://product.tdk.com/en/system/files?file=dam/doc/product/capacitor/ceramic/mlcc/charasheet/c2012c0g1h333j125aa.pdf","https://www.digikey.com/en/products/detail/C2012C0G1H333J125AA/445-7523-1-ND/2733595","","C2012C0G1H333J125AA"
"","","C24","33 nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://product.tdk.com/en/system/files?file=dam/doc/product/capacitor/ceramic/mlcc/charasheet/c2012c0g1h333j125aa.pdf","https://www.digikey.com/en/products/detail/C2012C0G1H333J125AA/445-7523-1-ND/2733595","","C2012C0G1H333J125AA"
"","","C25","33 nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://product.tdk.com/en/system/files?file=dam/doc/product/capacitor/ceramic/mlcc/charasheet/c2012c0g1h333j125aa.pdf","https://www.digikey.com/en/products/detail/C2012C0G1H333J125AA/445-7523-1-ND/2733595","","C2012C0G1H333J125AA"
"","","C26","220 pF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://industrial.panasonic.com/ww/products/pt/film-cap-electroequip/models/ECHU1H221JX5","https://www.digikey.com/en/products/detail/ECH-U1H221JX5/PCF1320CT-ND/353792","","ECH-U1H221JX5"
"","","C27","220 pF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://industrial.panasonic.com/ww/products/pt/film-cap-electroequip/models/ECHU1H221JX5","https://www.digikey.com/en/products/detail/ECH-U1H221JX5/PCF1320CT-ND/353792","","ECH-U1H221JX5"
